K. M. Mathew|కె.ఎం.మాథ్యూ
Irawati Karve|ఇరావతి కర్వే
Saranya Mohan|శరణ్య మోహన్
Preeti Jhangiani|ప్రీతి జింగానియా
Vinaya Prasad|వినయ ప్రసాద్
V. M. Tarkunde|వి. ఎం. తార్కుండే
Dasari Narayana Rao|దాసరి నారాయణరావు
Girija Shettar|గిరిజా షెత్తర్
Patnam Subramania Iyer|పట్నం సుబ్రమణ్య అయ్యరు
Dattopant Thengadi|దత్తోపంత్ ఠెన్గడీ
Sri Lal Sukla|శ్రీలాల్ శుక్లా
Ali Sardar Jafri|అలీ సర్దార్ జాఫ్రీ
Jacob Oram|జేకబ్ ఓరం
Mahendranath Gupta|మహేంద్రనాథ్ గుప్తా
Gopinath Kaviraj|గోపీనాథ్ కవిరాజ్
Ammembal Subba Rao Pai|అమ్మెంబాల్ సుబ్బారావు పాయ్
Krishna Sobti|కృష్ణా సోబ్తి
Shridhar Venkatesh Ketkar|శ్రీధర్ వెంకటేష్ కేత్కర్
Mogubai Kurdikar|మోగుబాయి కుర్దికర్
Rajendra Kumar|రాజేంద్ర కుమార్
Kapila Vatsyayan|కపిల వాత్స్యాయన్
Shamshad Hussain|శంషాద్ హుస్సేన్
Barkha Dutt|బర్ఖాదత్
Bansi Lal|బన్సీ లాల్
Gopabandhu Das|గోపబంధు దాస్
Chepudira Muthana Poonacha|సి. ఎమ్. పూన్చ
Santokh Singh Dhir|సంతోఖ్ సింగ్ ధీర్
Pablo Bartholomew|పాబ్లో బార్‌తొలొమెవ్
Grigori Levitski|గ్రిగోరి లెవిట్స్కి
Fanny Cadeo|ఫన్న్య కదెఒఉ
Fatima Ahmed|ఫాతిమా అహ్మద్
Babu Rao Mediyam|మెడియం బాబూరావ్
Kotla Vijaya Bhaskara Reddy|కోట్ల విజయభాస్కరరెడ్డి
Nilesh Kulkarni|నీలేష్ కులకర్ణి
Kasu Brahmananda Reddy|కాసు బ్రహ్మానందరెడ్డి
Ridley Jacobs|రిడ్లీ జాకబ్స్
Bharathi Vishnuvardhan|భారతి
Tanguturi Anjaiah|టంగుటూరి అంజయ్య
Sai Prathap Annayyagari|అన్నయ్యగారి సాయిప్రతాప్
Vulimiri Ramalingaswami|ఉలిమిరి రామలింగస్వామి
Hasrat Mohani|హస్రత్ మోహాని
Srinivasa Rao Srirangam|శ్రీశ్రీ
M. M. Keeravani|ఎం.ఎం.కీరవాణి
Malik Ayaz|మలిక్ అయాజ్
Kshemendra|క్షేమేంద్రుడు
Linval Joseph|లైన్వాల్ జోసెఫ్
Martin Berberyan|మార్టిన్ బెర్బర్యాన్
Sulaf Fawakherji|సులాఫ్ ఫవాకేర్జీ
Godabarish Mishra|గోదావరీష్ మిశ్రా
Drashti Dhami|ద్రష్టి దామీ
Santanu Kumar Acharya|శాంతను కుమార్ ఆచార్య
Bharati Mukherjee|భారతీ ముఖర్జీ
Mariam Petrosyan|మరియాం పెట్రోస్యాన్
Ebrahim Alkazi|ఇబ్రహీం అల్కాజీ
A.G Krishnamurthy|ఎ.జి.కృష్ణమూర్తి
A. A. Rahim|ఏ. ఏ. రహీమ్
A. D. Loganathan|ఏ. డి . లోగనాథన్
A. M. Sahay|ఏ. ఎం. సహై
A. Marthanda Pillai|ఏ. మార్తాండ పిళ్ళై
A. Ranganatha Mudaliar|ఆర్కాట్ రంగనాథ మొదలియారు
Aadhi Pinisetty|ఆది పినిశెట్టి
Aamani|ఆమని
Aarti Chhabria|ఆర్తి చాబ్రియా
Abbas Tyabji|అబ్బాస్ త్యాబ్జి
Abdul Hafiz Mohamed Barakatullah|అబ్దుల్ హాఫిజ్ మొహమ్మద్ బారకాతుల్లాహ్
Abhijit Mukherjee|అభిజిత్ ముఖర్జీ
Abhinayashree|అభినయశ్రీ
Abhinaya|అభినయ
Abhishek Jhunjhunwala|అభిషేక్ ఝన్ఝన్వాలా
Adah Sharma|అదా శర్మ
Adam Kokesh|ఆడమ్ కోకేష్
Aditya Nath Jha|ఆదిత్య నాథ్ ఝా
Aditya Roy Kapur|ఆదిత్య రాయ్ కపూర్
