Ciara Bravo|சிகாரா பிரேவோ
Hakeem Olajuwon|அகீம் ஒலாஜுவான்
Édouard Roche|ஏதவார்து உரோச்சே
Paul Rudd|பால் ருத்
James Dewar|ஜேம்சு தீவார்
Urvashi|ஊர்வசி
Prakash Karat|பிரகாஷ் காரத்
Charaka|சரகர்
Jonathan Fielding|ஜொனாதன் ஃபீல்டிங்
Jules Bianchi|இழூல்சு பியான்கி
Dharamvir Bharati|தரம்வீர் பாரதி
Bruno Soares|புருனோ சோரெசு
Étienne François Geoffroy|எடியென்னே பிரான்கோயிஸ் ஜெப்ராய்
Malaika Arora|மலைக்கா அரோரா
B. Nagi Reddy|பொம்மிரெட்டி நாகிரெட்டி
Sandi Toksvig|சாண்டி டோக்ஸ்விக்
Saint Óscar Romero|ஆஸ்கார் ரொமெரோ
Estrella Morente|எஸ்த்றேயா மொறேந்தே
Shafiq Ahmad|அகமது சபீக்
Jerry Lewis|ஜெர்ரி லுவிஸ்
Miranda Otto|மிராண்டா ஓட்டோ
Sam Harris|சாம் ஃகாரிசு
Tunku Abdul Rahman|துங்கு அப்துல் ரகுமான்
Minna Canth|மினா கேந்த்
Abu al-Wafa Buzjani|அபுல் வபா
Nick Vujicic|நிக் வோய்ச்சிச்
Daniel Nestor|டேனியல் நெஸ்டர்
George Habash|ஜோர்ஜ் ஹபாஷ்
Djimon Hounsou|திஜிமோன் கவுன்சோ
Frank Drake|பிராங்க் டிரேக்
Michael Sata|மைக்கேல் சாட்டா
Eric Dane|எரிக் டான்
Howard H. Aiken|அவார்டு அயிக்கன்
Arthur Henfrey|ஆத்தர் ஹென்பிரே
Narisara Nuvadtivongs|நரிசாரா நுவட்டிவாங்
Michael Cera|மைக்கேல் செரா
George H. Hitchings|ஜார்ஜ் எச் ஹிட்சிங்ஸ்
Damian Marley|டாமியன் மார்லி
Intef I|முதலாம் இன்டெப்
Alan Bean|ஆலன் பீன்
Elton Mayo|எல்டன் மேயோ
Napoleon Hill|நெப்போலியன் ஹில்
Michael Ignatieff|மைக்கல் இக்னேட்டியஃவ்
Christopher McCandless|கிறிஸ்டோபர் மக்கென்ட்லஸ்
Marcelo H. del Pilar|மார்செலோ எச். டெல் பிலார்
Mirza Ghulam Ahmad|மிர்சா குலாம் அஹ்மத்
