Rafic Hariri|রফিক হারিরি
Jean-François Lyotard|জঁ-ফ্রঁসোয়া লিয়তার
Kenneth G. Wilson|কেনেথ জি উইলসন
Marcel Desailly|মার্সেল দেসায়ি
Richard Branson|রিচার্ড ব্রানসন
Jessica Marais|জেসিকা মারাইস
Miguel de Noronha, 4th Count of Linhares|মিগুয়েল ডি নোরোনহা
Jessica Brown Findlay|জেসিকা ব্রাউন ফিন্ডলে
السلطان مراد الخامس|পঞ্চম মুরাদ
Anna Paquin|অ্যানা প্যাকুইন
Jennifer Morrison|জেনিফার মরিসন
Roger Y. Tsien|রজার ওয়াই. তিসিয়েন
Sean Paul|সন পল
Woody Harrelson|উডি হ্যারেলসন
John Dee|জন ডি
Keisuke Honda|হন্ডা কেস্‌কে
Shelley Winters|শেলি উইন্টার্স
Guillaume de l'Hôpital|গিয়্যোম দ্য লোপিতাল
Dido|ডিডো
Igor Akinfeev|ইগর আকিনফিভ
Angus Deaton|অ্যাঙ্গাস ডিটন
Frances McDormand|ফ্রান্সেস ম্যাকডোরম্যান্ড
Zine El Abidine Ben Ali|জয়নুল আবেদিন বেন আলী
Marvin Minsky|মার্ভিন মিন্সকি
Bebeto|বেবেতো
John L. Hall|জন লুইস হল
Robbie Fowler|রবি ফাওলার
Elvis Costello|এলভিস কস্টেলো
João Havelange|জোয়াও হ্যাভেলাঞ্জ
Chandrika Kumaratunga|চন্দ্রিকা কুমারাতুঙ্গা
Amir Khosrow|আমির খসরু
Xabi Alonso|জাবি আলোনসো
Thomas Bayes|টমাস বেইজ
Pau Casals|পাবলো ক্যাসালস
Akira Toriyama|আকিরা তোরিয়ামা
Fats Domino|ফ্যাটস ডমিনো
Peter Leko|পিটার লেকো
Arto Paasilinna|আর্তো পাসিলিন্না
Richard Axel|রিচার্ড অ্যাক্সেল
Glenn Ford|গ্লেন ফোর্ড
S. R. Nathan|সেল্লাপান রামানাথান
P. W. Botha|পি. ও. যথা
Hariprasad Chaurasia|হরিপ্রসাদ চৌরাসিয়া
Stephen Colbert|স্টিফেন কোল‌বেয়ার
Celeste Holm|সেলেস্ট হোম
Manu Ginóbili|মানু জিনোবিলি
Blackbeard|ব্ল্যাকবিয়ার্ড
