Tony Greig|टोनी ग्रेग
Sadhana Sargam|साधना सरगम
Mamta Mohandas|ममता मोहनदास
Hansika Motwani|हंसिका मोटवानी
Kirti Nidhi Bista|कीर्तीनिधि विष्ट
Mohan Shamsher Jang Bahadur Rana|मोहन सम्शेर जङ्गबहादुर राणा
Pushpa Lal Shrestha|पुष्पलाल श्रेष्ठ
Manoj Kumar|मनोज कुमार
Beverly Johnson|बेभर्ली जोनसन
Aiden Ashley|एडेन एस्ली
Mukesh|मुकेश
Tricia Devereaux|ट्रिसिया डेभेरेयक्स
Sabrine Maui|सब्रिन माउइ
Parmanand Jha|परमानन्द झा
Lisa Lipps|लिसा लिप्स
Misbah-ul-Haq|मिसवाह उल हक
SaRenna Lee|सरेना ली
Dominica Leoni|डोमिनिका लियोनी
Bharatendu Harishchandra|भारतेन्दु हरिश्चन्द्र
Acharya S|अचार्ज
Kanak Dixit|कनकमणि दीक्षित
Yuvraj Singh|युवराज सिंह
Vikram Bhatt|विक्रम भट्ट
Krishnakumarasinh Bhavasinh Gohil|कृष्णकुमारसिंह भावसिंह गोहिल
Abella Anderson|एबेल्ला एन्डरसन
Amshuverma|अंशुवर्मा
Mohit Chauhan|मोहित चौहान
Devon Lee|डेभन ली
Emmanuel Macron|एमानुएल म्याक्रोन
Zoya Akhtar|जोया अख्तर
Franck Gastambide|फ्रांक गास्तम्बिड
Justin Trudeau|जस्टिन ट्रुडो
Giriraj Mani Pokharel|गिरीराज मणि पोखरेल
Haruki Mizuno|हारुकी मिजुनो
Paresh Rawal|परेश रावल
Sadhana Shivdasani|साधना शिवदासानी
Shivraj Singh Chauhan|शिवराज सिंह चौहान
A.K. Fazlul Huq|एके फजलुल हक
Omar Hawsawi|अोमर हसावी
Lizz Tayler|लिज टेलर
Ebony Ayes|एबोनी आइज
Ashok Chavan|अशोक चव्हाण
Ibrahim Shah Suri|इब्राहिम शाह सूरी
Kamini Roy|कामिनी राय
Imrul Kayes|इमरुल कायेस
Shivshakti Sachdev|शिवशक्ति सचदेव
Pierre Renaudel|प्येर रेनोडेल
Gulshan Grover|गुलशन ग्रोवर
Upen Patel|उपेन पटेल
Neha Dhupia|नेहा धूपिया
Nitin Gadkari|नितीन जयराम गडकरी
Jaya Prada|जयाप्रदा
Lakshmi Rai|लक्ष्मी राय
Sucheta Kripalani|सुचेता कृपलानी
Nandana Sen|नन्दना सेन
Eoin Morgan|इयोन मोर्गन
Dale Steyn|डेल स्टेन
Mohammad Shahzad|मोहम्मद शाहजाद
Saeed Admal|सईद अजमल
Rakhi Sawant|राखी सावंत
Noriko Tatsumi|नोरिको तात्सुमी
Samantha Saint|सामन्था सेन्ट
Jiah Khan|जिया खान
Preeti Jhangiani|प्रीति झाङ्गियानी
Jacinda Ardern|जेसिन्डा अर्डर्न
Remy LaCroix|रेमि लाक्रोइक्स
Hazel Keech|हेजल कीच
Lalit Narayan Mishra|ललित नारायण मिश्र
Pankaj Pachauri|पंकज पचौरी
Dadu Dayal|दादूदयाल
Harilal Jekisundas Kania|एच जे कनिया
Nicole Aniston|निकोल एनिस्टन
Krishna Mohan Shrestha|कृष्णमोहन श्रेष्ठ
Billie Kay|बिली के
Nevaeh|नेभिया (कुस्ती खेलाडी)
Princess Shruti of Nepal|अधिराजकुमारी श्रुति
Ravindra Prabhat|रवीन्द्र प्रभात
Drashti Dhami|दृष्टि धामी
Manna|मान्ना
Cara Lott|कारा लट
Aarti Chhabria|आरती छाबडीया
Abhijit Mukherjee|अभिजीत मुखर्जी
Abhishek Pratap Shah|अभिषेक प्रताप शाह
Adah Sharma|अदा शर्मा
Aditya Roy Kapur|आदित्य रोय कपूर
Akshu Fernando|अक्षु फेर्नन्डो
Alia Bhatt|आलिया भट्ट
Amile Waters|एमाइल वाटर्स
Amrapali Dubey|आम्रपाली दुबे
Andrew McCollum|एन्ड्रयु म्याककोलम
Anu Muhammad|अानु मुहाम्मद
Anuj Sachdeva|अनुज सचदेवा
Diana Penty|डायना पेन्टी
Arjun Bijlani|अर्जुन बिज्लानी
Arjun Narasingha K.C.|अर्जुननरसिंह केसी
Aroon Clansey|अरून क्ल्यानसे
Aruna Mucherla|अरुणा मुचेरा
Arzo Rana Deuba|आरजू देउवा
Ashesh Malla|अशेष मल्ल
Atul Srivastava|अतुल श्रीवास्तव
B. Sriramulu|बी॰ श्रीरामुलु
Baber Shamsher Jang Bahadur Rana|बबरसम्शेर राणा
Bal Narsingh Kunwar|बालनरसिंह कुँवर
Bhanbhagta Gurung|भनभक्त गुरुङ
Bimal Magar|विमल घर्ती मगर
Binod Das|विनोद दाश
Bishnu Pada Ray|विष्णु पद राय
Casey Dumont|क्यासी डुमन्ट
Chandrakant Raghunath Patil|सी आर पाटिल
Chinna Jeeyar Swamy|चिन्न जीयर स्वामी
Conor McGregor|कनर म्याकग्रेगर
Dayanand Shetty|दयानन्द शेट्टी
Dayaram Dahal|दयाराम दाहाल
Devika|देविका
Dharma Sila Chapagain|धर्मशिला चापागाईं
Dhooswan Sayami|धुँस्वां सायमी
Dip Kumar Upadhaya|दीप कुमार उपाध्याय
Fathimath Dhiyana Saeed|फतिमाथ धियाना सइद
Gauahar Khan|गौहर खान
Gauri Malla|गौरी मल्ल
Giaa Manek|जिया मानेक
Gyanendra Malla|ज्ञानेन्द्र मल्ल
Camilo|क्यामिलो (गायक)
Har Dayal|लाला हरदयाल
Hira Devi Waiba|हीरादेवी वाइबा
Ibrahim Hussein Zaki|इब्राहिम हुसेन जाकी
Ram Vilas Paswan|रामविलास पासवान
Radha Krishna Mainali|राधाकृष्ण मैनाली
Jay Bhanushali|जय भानुशाली
Jayshreeben Patel|पटेल जयश्रीबेन कनुभाई
Jhalak Man Gandarbha|झलकमान गन्धर्व
Jitendra Singh|जितेन्द्र सिंह
Joe Bryan|जो ब्रायन
Joshna Chinappa|जोशना चिनप्पा
K. Kavitha|कलवाकुन्ट्ल कविता
K. N. Ramchandran|के॰एन॰ तिरु रामचन्द्रन
Kami Sherpa|कामी शेर्पा
Kamla Devi Patle|कमला देवी पटले
Kanika Kapoor|कनिका कपूर
Karan Wahi|करन वाही
Kortney Kane|कर्ट्नी केन
Krishnahari Baral|कृष्णहरि बराल
Kristappa Nimmala|क्रिस्टप्पा निम्मला
Kushal Tandon|कुशाल टण्डन
Lakshmi Menon|लक्ष्मी मेनन
Laxmi Narayan Tripathi|लक्ष्मी नारायण त्रिपाठी
M. Thambi Durai|एम॰ तंबीदुरै
Madan Krishna Shrestha|मदन कृष्ण श्रेष्ठ
Mehboob Alam|मेहबुब आलम
Mahesh Chhetri|महेश क्षेत्री
Malati Bedekar|मालती बेडेकर
Malvika Subba|माल्भिका सुब्बा
Sasha Banks|सासा बेङ्क्स
Moeen Ali|मोईन अली
Mohan Kundariya|मोहन कुन्दरिया
Mugdha Godse|मुग्धा गोडसे
Nabindra Raj Joshi|नविन्द्रराज जोशी
Nara Nath Acharya|नरनाथ अाचार्य
Narendra Singh Tomar|नरेन्द्र सिंह तोमर
Nidhi Razdan|निधि राजदान
Olivia Colman|ओलिभिया कोल्मेन
Ponnusamy Venugopal|पी॰ वेणुगोपाल
Pappu Yadav|पप्पू यादव
Paras Khadka|पारस खड्का
Pashupati Nath Singh|पशुपतिनाथ सिंह
Prajwal Parajuly|प्रज्वल पराजुली
Preeti Kaur|प्रीति कौर
Preeti Sagar|प्रीति सागर
Priya Rajvansh|प्रिया राजवंश
Rajkummar Rao|राजकुमार राव
Rambahadur Limbu|भि सी रामबहादुर लिम्बु
Rekha Bhardwaj|रेखा भारद्वाज
Remo D'Souza|रेमो डीसूजा
Richa Chadha|ऋचा चड्ढा
Rosa Salazar|रोजा सालाजार
Sanaya Irani|सनाया ईरानी
Sanjay Shamrao Dhotre|संजय शामराव धोत्रे
Sarah Jane Hamilton|सराह जेन ह्यामिल्टन
Sarla Grewal|सरला ग्रेवाल
Shazia Ilmi|शाजिया इल्मी
Sheel Kant Sharma|शील कान्त शर्मा
Shiva Regmi|शिव रेग्मी
Shonali Bose|सोनाली बोस
Nicole Oring|निकोल ओरिङ्ग
Sitaram Kattel|सिताराम कट्टेल
Som Prasad Pandey|सोम प्रसाद पाण्डेय
Sona Ram|कर्नल सोनाराम
Sooni Taraporevala|सूनी तारापोरवाला
Sudarshan Bhagat|सुदर्शन भगत
Suresh Ale Magar|सुरेश कुमार आलेमगर
Tathagata Satapathy|तथागत सत्पथी
Tek Bahadur Basnet|टेक बहादुर बस्नेत
Thangso Baite|थांगसो बाइते
Thokchom Meinya|डॉ. थोकचोम मेइन्या
Antony Blinken|एन्टोनी ब्लिङ्कन
Tulsi Ghimire|तुलसी घिमीरे
Udit Raj|उदित राज
Upendra Mahato|उपेन्द्र महतो
V. V. Vinayak|विवी विनायक
Yuvika Chaudhary|युविका चौधरी
Zulfi Syed|जूलफि सैयद
Rojisha Shahi|रोजिशा शाही ठकुरी
Haruka Miyashita|हरुका मियशित
Qin Yongmin|Qin Yongmin
Jason Williams|जेसन विलियम्स
Mohd Mamunul Islam|मामिनुल इसलाम
Shakti Gauchan|शक्ति गौचन
Tulsi Diwasa|तुलसी दिवस
Kaiser Shamsher Jang Bahadur Rana|केशर सम्शेर राणा
Deepti Bhatnagar|दीप्ती भटनागर
Meera Sanyal|मीरा सन्याल
Rekha Thapa|रेखा थापा
Chandraghanta|चन्द्रघन्टा
P. C. Mohan|पी. सी. मोहन
Motilal|मोतीलाल
Raj Mehra|राज मेहरा
Jyotirmoyee Devi|ज्योतिर्मयी देवी
Subash Prasad Khakurel|सुवास खकुरेल
Lopamudra Bhattacharji|लोपामुद्रा भट्टाचार्जी
Nivetha Tharseth|निवेथा थोमस
Anil Shah|अनिल शाह
Amrita Basnet|अमृता बस्नेत
|कप्तान किनलोक विरूद्ध पौवागढीको युद्ध
कमला रोक्का|कमला रोक्का
|कला अनुरागी
|कल्पना धमला
|कविता सर्दार वातर
|काली बहादुर मल्ल
|कृष्ण कुमार चौधरी
|कृष्णा अमात्य
|केदार शर्मा
Koili Devi Mathema|कोइली देवी मथेमा
Gopal Parajuli|गोपाल पराजुली (कवि)
|गोबिन्द नेपालि
|चन्द्रभूषण पाण्डे
|जिवनप्रेम श्रेष्ठ
|दिलबहादुर चित्रकार
|दीप कुमार उपाध्याय
|दुर्गाप्रसाद भण्डारी
|दैवज्ञराज न्यौपाने
Dharma Ratna Yami|धर्मरत्न यमी
|पुष्करध्वज शाही
Balkrishna Sama|बालकृष्ण सम
|भुटीनी देवी खवास
Bhupal Man Singh Atwal|भूपालमान सिंह कार्की
Minakshi Jha|मिनाक्षी झा
Mohan Vaidya|मोहन वैद्य
Rakshya Rana|रक्षा राणा
|रमेश रिजाल
|राइट दाजुभाइ
|राजन गिरी
|राजाराम पौडेल
Ram Kumar Rai|राम कुमार राई
|रामचन्द्र अधिकारी
|रामरति राम
|लिला श्रेष्ठ सुब्बा
|वासुदेव ढुंगाना
|विजय चालिसे
Biraj Bhatta|विराज भट्ट
|शान्ता थपलिया
|शान्ति देवी चमार
|शारदा झा
|शिव राज गौतम
|शिवराम यादव
|शुष्मा शर्मा घिमिरे
|शेख चाँदतारा
|संघ प्रसाद थारु
|संतोष पन्त
|सन्तमाया तामाङ
|सुरज विश्वास
|सुरेन्द्रबहादुर बस्नेत
|सुस्मिता केसी
|सूर्यनाथदास यादव
|सोमनाथ सिग्द्याल
|स्वामी विष्णु तीर्थ
Harka Gurung|हर्क गुरुङ
Sagar Pun|सागर पुन
Jared Kushner|जरेद कुस्नर
A. T. Patil|अशोक तापीराम पाटील
Arundhati Bhattacharya|अरुन्धति भट्टाचार्य
Barsaman Pun|बर्षमान पुन
Basanti Kumal Chaudhari|बसन्ती कुमाल चौधरी
Nalina Chitrakar|नलिना चित्रकार
Rama Devi|रमा देवी
Kylian Hazard|काइलियन हजार्ड
PARTYNEXTDOOR|पार्टी नेक्ट डोर
Jaya Prakash Malla|जयप्रकाश मल्ल
