Ja'far al-Sadiq|ജഅഫർ അൽ-സാദിക്
Andreas Vesalius|ആൻഡ്രെയാസ് വിസേലിയസ്
Omar Sharif|ഒമർ ഷരീഫ്
T. E. Lawrence|ടി.ഇ. ലോറൻസ്
Bāṇabhaṭṭa|ബാണഭട്ടൻ
Diodorus Siculus|ഡയഡോറസ് സിക്കുലസ്
Aishwarya R. Dhanush|ഐശ്വര്യ
Ötzi|ഊറ്റ്സി
Veselin Topalov|വസലിൻ ടോപോലോഫ്
Paul Erdős|പോൾ എർദൊഷ്
Jean Tirole|ഷോൺ ടീറോൾ
Katie Holmes|കേറ്റി ഹോംസ്
Abdülmecid I|അബ്ദുൽ മജീദ് I
Teresa of Ávila|ആവിലായിലെ ത്രേസ്യ
Tertullian|തെർത്തുല്യൻ
Howard Gardner|ഹോവാർഡ് ഗാർഡ്നർ
Peter Sellers|പീറ്റർ സെല്ലേഴ്സ്
Mikhail Botvinnik|മിഖായേൽ ബൊട്‌വിനിക്
Roland Barthes|റോളാങ്ങ് ബാർത്ത്
Harold Urey|ഹാരോൾഡ്‌ യുറേ
Frank Gehry|ഫ്രാങ്ക് ഗറി
Helen Clark|ഹെലൻ ക്ലാർക്ക്
Alexis Sánchez|അലക്സിസ് സാഞ്ചസ്
Peter Michael Chenaparampil|പീറ്റർ ചേനപ്പറമ്പിൽ
Nicolas Carnot|നിക്കോളാസ് കാർണോ
Paul Muni|പോൾ മുനി
Janet Gaynor|ജാനറ്റ് ഗയ്നെർ
Shirley Temple|ഷിർലി ടെംപിൾ ബ്ലാക്ക്
William Henry|വില്യം ഹെൻറി
Benjamin Biolay|ബെഞ്ചമിൻ ബയോലൈ
Ramakrishna|ശ്രീരാമകൃഷ്ണ പരമഹംസൻ
Judit Polgár|ജൂഡിറ്റ് പോൾഗാർ
Fred Hoyle|ഫ്രെഡ് ഹോയ്ൽ
Walter Houser Brattain|വാൾട്ടർ എച്ച്. ബ്രാറ്റെയിൻ
Jean Genet|ഴാങ് ഷെനെ
Edgar Davids|എഡ്ഗർ ഡേവിഡ്സ്
Jostein Gaarder|ജോസ്റ്റൈൻ ഗോഡർ
Alexis Carrel|അലെക്സിസ് കാറെൽ
John Kenneth Galbraith|ജോൺ കെന്നത്ത് ഗാൽബ്രൈത്ത്
Dante Gabriel Rossetti|ദാന്തെ ഗബ്രിയൽ റോസെറ്റി
Anders Jonas Ångström|മലയാലം
Pitbull|പിറ്റ്ബുൾ
Cesare Borgia|സിസേർ ബോർജിയ
Preity Zinta|പ്രീതി സിൻ‌ഡ
E. M. Forster|ഇ.എം. ഫോസ്റ്റർ
Gloria Stuart|ഗ്ലോറിയ സ്റ്റുവാർട്ട്
Ayub Khan|അയൂബ്ഖാൻ മുഹമ്മദ്
Cyprian|സിപ്രിയൻ
Rachel McAdams|റേച്ചൽ മക്ആഡംസ്
Zooey Deschanel|സോയി ഡേഷനൽ
John Edward Gray|ജോൺ എഡ്‌വേഡ് ഗ്രേ
Peter Ware Higgs|പീറ്റർ ഹിഗ്‌സ്
Susan B. Anthony|സൂസൻ ബി. ആന്റണി
Benedetto Croce|ബനെഡെറ്റോ ക്രോച്ചേ
Thomas Gainsborough|തോമസ് ഗയിൻസ്ബറോ
Cato the Younger|ഇളയ കാറ്റോ
Richard Branson|റിച്ചാർഡ് ബ്രാൻസൺ
Jessica Marais|ജെസീക്ക മറൈസ്
Anna Paquin|അന്ന പാക്വിൻ
Thomas Cranmer|തോമസ് ക്രാന്മർ
Jennifer Morrison|ജെന്നിഫർ മോറിസൺ
Sean Paul|സീൻ പോൾ
Jim Caviezel|ജേംസ് കാവിഏസെൽ
Andimuthu Raja|എ. രാജ
Hayley Williams|ഹെയ്ലി വില്യംസ്
Shelley Winters|ഷെല്ലി വിൻറേർസ്
Guillaume de l'Hôpital|എൽ ഹോസ്പിറ്റൽ
Élie, duc Decazes|എലെ, ഡെക്കാസെ
Dido|ഡൈഡോ
Angus Deaton|ആംഗസ് ഡീറ്റൺ
Frances McDormand|ഫ്രാൻസിസ് മക്ഡോർമൻറ്
Marvin Minsky|മാർവിൻ മിൻസ്കി
Chandrika Kumaratunga|ചന്ദ്രിക കുമാരതുംഗ
L. Frank Baum|എൽ. ഫ്രാങ്ക് ബോം
Amir Khosrow|അമീർ ഖുസ്രൊ
Tansu Çiller|താൻസു ചില്ലർ
Javier Sotomayor|ഹാവിയേർ സോട്ടോമേയർ
Agnes of Rome|റോമായിലെ ആഗ്നെസ്
Wilkie Collins|വിൽക്കി കോളിൻസ്
Peter Leko|പീറ്റർ ലെകോ
Richard Axel|റിച്ചാർഡ് ആക്സെൽ
S. R. Nathan|എസ്.ആർ. നാഥൻ
Igor Sikorsky|ഇഗോർ സികോർസ്കി
Hariprasad Chaurasia|ഹരിപ്രസാദ് ചൗരസ്യ
Stephen Colbert|സ്റ്റീഫൻ കോൾബർട്ട്
André Villas-Boas|ആന്ദ്രെ വില്ലാ ബോവാസ്
Albert John Mvumbi Luthuli|ആൽബർട്ട്‌ ലിതൂലി
Celeste Holm|സെലസ്റ്റേ ഹോം
Blackbeard|ബ്ളാക്ക്ബീയർഡ്
Johann Matthäus Bechstein|ജൊഹാൻ മത്താവൂസ് ബെക്‌സ്റ്റീൻ
Steve Biko|സ്റ്റീവ് ബികോ
Ayaan Hirsi Ali|അയാൻ ഹിർസി അലി
Beatrix Potter|ബീട്രിക്സ് പോട്ടർ
Nikolai Vavilov|നിക്കോളായ് വാവിലോവ്
