Bal Thackeray|बालासाहव ठाकरे
Bacharuddin Jusuf Habibie|यूसुफ हबीबी
Wolfgang Ketterle|वुल्फगांग केट्टेर्ले
Guru Nanak|गुरुनानकः
Paracelsus|पारासेल्सस्
Subhash Kak|सुभाषकाकः
Francis William Aston|आस्टन् फ्रान्सिस् विलियम्
Aage Niels Bohr|आजे एन बोह्र
Vitaly Ginzburg|वितली गिन्ज़बर्ग
Frank Wilczek|फ्रान्क विल्चेक
George I of Great Britain|जार्ज १
Maria Theresa of Austria|मारिया टेरेसा
Satsvarupa dasa Goswami|सत्स्वरूप दास गोस्वामी
George Carlin|जार्ज् कार्लिन्
Hans Bethe|हान्स बेथे
Lata Mangeshkar|लता मङ्गेशकरः
Samuel Hahnemann|साम्युयेल् हानिमन्
Dara Singh|दारासिङ्गः
Owen Willans Richardson|ओवेन विलेन्स् रिचार्डसन
O. Henry|ऒ हेन्री
Emilio G. Segrè|एमिलियो सेग्र
Gabriele Falloppio|गाब्रियोलो फालोपियस्
Jiddu Krishnamurti|जिद्दु कृष्णमूर्ति
George F. Smoot|जोर्ज एफ स्मूट
Gerard 't Hooft|गेरार्डस 'टी हूफ्ट
Chandragupta Maurya|चन्द्रगुप्तमौर्यः
Nicolaas Bloembergen|निकोलास ब्लोम्बर्गन
Charles Barkley|चार्ल्स बार्क्ले
Robert Coleman Richardson|रोबर्ट कोलमन रिचार्डसन
Richard E. Taylor|रिचार्ड इ टेलर
Saif al-Islam al-Gaddafi|मु अम्मर् गडाफ़ि
Shivaji Bhonsle I|शिवाजिः
Maharishi Mahesh Yogi|महर्षि महेश योगी
I. K. Gujral|इन्द्र कुमार गुजरालः
Theresa May|थेरेसा मे
Wayne Rooney|वेन रूनी
Milkha Singh|मिल्खा सिंह
James II of Scotland|जेम्स २
Vesto Slipher|वेस्टो मेल्विन् सिल्फर्
Tulsidas|तुलसीदासः
Jagadish Chandra Bose|जगदीशचन्द्रबोसः
Vikram Sarabhai|विक्रम साराभाई
Homi Jehangir Bhabha|होमी जहाँगीर भाभा
Mahākāśyapa|Mahākāśyapa
James|जेम्स वान
Bankim Chandra Chattopadhyay|बङ्किमचन्द्रचटर्जी
Meghnad Saha|मेघनाथ साहा
Guru Hargobind|गुरु हरगोविंद
Sheila Dikshit|शीलादीक्षितः
Ela Bhatt|इलाबेन भट्ट
Vinayak Damodar Savarkar|विनायकदामोदरसावरकरः
Pingala|पिङ्गलः
Prithviraj Chauhan|भारतेश्वरः पृथ्वीराजः
Sonakshi Sinha|सोनाक्षी सिन्हा
Abanindranath Tagore|अबनिन्द्रनाथठाकुरः
M. Visvesvaraya|मोक्षगुण्डं विश्वेश्वरय्यः
Mahadev Desai|महादेवभाई देसाई
Bhagwan Das|भगवान् दासः
Leon Abbett|लेओन् अब्बेत्त्
Brihaspati|बृहस्पति
Rajyavardhan Rathore|राज्यवर्धन सिंह राठौड़
Manilal Gandhi|मणिलाल गान्धी
Vācaspati Miśra|वाचस्पतिमिश्रः
Emil Holst|एमिल् होल्स्त्
Adikavi Pampa|पम्पः
Khushwant Singh|खुशवन्त सिंहः
Pratibha Ray|प्रतिभा राय्
Kausalya|कौसल्या
Rajkumar Santoshi|राजकुमार संतोषी
Pururavas|पुरूरवाः
Dashrath Manjhi|दशरथमाँझिः
Vallathol Narayana Menon|वळ्ळत्तोळ् नारायणमेनोन्
Vidyapati|vidyapati
Mandavi|माण्डवी
Sukhdev Thapar|सुखदेवः
Kiran Bedi|about kiran bedi in skt
Asaram|संत श्री आसारामजी बापू
Maneka Gandhi|मेनका गांधी
Vishnu Sharma|विष्णुशर्मा
Felton Jarvis|फेल्तोन् जर्विस्
|बालगङ्गाधर तिलकः
|भिक्षु अखण्डानन्द
Bhikaiji Cama|भीखाइजी कामा
Labhshankar Thakar|लाभशंकर ठाकर
Mandhatri|मान्धातृ
Monobaz I|मोनोबाज़् १
Danny Dulieu|डन्नि डुलिएउ
Pran|प्राण् किशन् सिकन्द्
Swami Brahmananda|स्वामी ब्रह्मानन्दः
P. T. Usha|पीटीउषा
Syama Prasad Mukherjee|श्यामाप्रसाद मुखोपाध्याय
Prakash Jha|प्रकाश झा
Syama Sastri|श्यामाशास्त्री
N. V. Krishna Warrier|एन.वी.कृष्ण वारियर
Mahavir Prasad Dwivedi|महावीर प्रसाद द्विवेदी
Raghavendra Tirtha|राघवेन्द्रस्वामी
Sukanya|सुकन्‍या
Jyeṣṭhadeva|ज्येष्ठदेव
Wahiduddin Khan|मौलाना वहिदुद्दिन् खान्
Swami Rama Tirtha|स्वामी रामतीर्थः
Lagadha|लगध
Rajiv Pratap Rudy|राजीव प्रताप रूडी
Fakir Mohan Senapati|Fakir Mohan Senapati
Keladi Chennamma|केळदि चेन्नम्मा
Acharya Bhikshu|भिक्षुः आचार्यः
Adriaan van der Willigen|Adriaan van der Willigen
Adriaan van der Willigen Pz.|Adriaan van der Willigen Pz.
Adriaen Foly|Adriaen Foly
Ananth Kumar Hegde|अनंत कुमार हेगड़े
B. M. Srikantaiah|बि. यम्. श्रीकण्ठय्यः
Balaji Vishwanath|बालाजी विश्वनाथ
Basavaraj Rajguru|बसवराज राजगुरुः
C. L. Ruala|सी॰ एल॰ रुआला
Chilarai|चिलारायः
Chimaji Appa|चिमाजी अप्पा
Darshan Thoogudeepa|दर्शनः
Deepender Singh Hooda|दीपेंद्र सिंह हुड्डा
Diganth|दिगन्तः
Divodasa|दिवोदास
Ganesh Damodar Savarkar|गणेश दामोदर सावरकर
Gururao Deshpande|गुरुरावदेशपाण्डे
Innocent|इनोसेंट
Jose K. Mani|जोस के॰ मणि
Kalikesh Narayan Singh Deo|कलिकेश सिंह देव
Kanaka Dasa|कनकदासः
Kodikunnil Suresh|कोडिकुन्नील सुरेश
Kuntaka|कुन्तकः
M. K. Raghavan|एम॰के॰ राघवन
Mahavir Tyagi|महावीरत्यागी
N. S. Ramanuja Tatacharya|डा। एन् एस् रामानुजताताचार्यः
Nandi Yellaiah|नंदी येल्लयाह
P. Kumar|पी॰ कुमार
Poonam Mahajan Rao|पूनम महाजन राव
Prabhatsinh Pratapsinh Chauhan|प्रभातसिंह प्रतापसिंह चौहान
Prataprao Ganpatrao Jadhav|प्रतापराव गणपतराव जाधव
Rajen Gohain|राजेन गोहेन
Raju Shetti|राजू शेट्टी
Ramesh Bais|रमेश बैस
Ratna De|रत्ना डे
S. R. Bommai|एस्. आर्. बोम्मायी
Sanwar Lal Jat|सांवर लाल जाट
Shridhar Bhaskar Warnekar|श्रीधर
Siddhanta Mahapatra|सिद्धांत महापात्रा
Sri Ponna|पोन्नः
Supriya Sule|सुप्रिया सुले
Tanjore Ramachandra Anantharaman|टि. आर्. अनन्तरामु
Thupstan Chhewang|थुप्सतान छेवांग
Uvaṭa|उव्वटः
Varadarāja|व्
