Nikhat Zareen|નિખત ઝરીન
Shivam Patil|શિવમ પાટિલ
Laxman Giluwa|લક્ષ્મણ ગિલુવા
Chintaman Vanaga|ચિંતામન વનગા
G. Nagesh|જી૰ નાગેશ
Neha Mehta|નેહા મેહતા
Upendra Kushwaha|ઉપેન્દ્ર કુશવાહા
Narendra Keshav Sawaikar|નરેંદ્ર કેશવ સવાઇકર
Ramdas Tadas|રામદાસ તડસ
Sundaram Thangavelu|સુંદરમ થાંગાવેલુ
Pusapati Ashok Gajapati Raju|અશોક ગજપતિ રાજૂ પૂસપાટિ
Rory Bosio|રોરી બોસિઓ
Joice George|જોઇસ જૉર્જ
Mahesh Sharma|મહેશ શર્મા
A. P. Jithender Reddy|એપી જિતેન્દર રેડ્ડી
Balka Suman|બાલ્કા સુમન
Butta Renuka|બુટ્ટા રેણુકા
Ch Malla Reddy|ચ મલ્લા રેડ્ડી
Dharambir|ધરમબીર
K C Patel|કે૰સી૰ પટેલ
Kapil Krishna Thakur|કપિલ કૃષ્ણ ઠાકુર
Konda Vishweshwar Reddy|કોંડા વિશ્વેશ્વર રેડ્ડી
Arka Keshari Deo|અરકા કેશરી દેવ
Radheshyam Biswas|રાધેશ્યામ બિસ્વાસ
Rammohan Naidu Kinjarapu|રામમોહન એન કિંજરપુ
Hemendra Chandra Singh|હેમેન્દ્ર ચન્દ્ર સિંહ
Badaruddoza Khan|બદ્રુદ્દોજ઼ા ખાન
Daddan Mishra|દદ્દન મિશ્રા
Pushpendra Singh Chandel|કુંવર પુષ્પેન્દ્ર સિંહ ચંદેલ
Rahul Kaswan|રાહુલ કાસવાન
Rajesh Pandey|રાજેશ પાણ્ડે
Ramcharan Bohara|રામચરણ બોહરા
Ravindra Kushawaha|રવિન્દ્ર કુશવાહા
Chandra Prakash Joshi|ચન્દ્રપ્રકાશ જોશી
Shrikant Shinde|શ્રીકાંત શિંદે
Krupal Tumane|કૃપાલ તુમાને
V. Pannerselvam|વી૰ પન્નીરસેલ્વમ
R. Gopalkrishnan|આર૰ ગોપાલકૃષ્ણન
K. Parasuraman|કે૰ પરસુરમન
S. Rajendran|એસ૰ રાજેન્દ્રન
Tushar Kalia|તુષાર કાલિયા
Sharad Tripathi|શરદ ત્રિપાઠી
A K Azizul Huq|এ কে আজিজুল হক
Sitanshu Yashaschandra|સિતાંષુ યશશ્ચન્દ્ર
Kalamandalam Satyabhama|કલામન્દલમ સત્યભામા
Geeta Mahalik|ગીતા મહાલિક
H. C. Verma|એચ.સી. વર્મા
Ranchhodji Diwan|રણછોડજી દીવાન
Indravijaysinhji|ઇન્દ્રવિજયસિંહજી જાડેજા
Usha Chinoy|ઉષા ચિનોય
M. K. Saroja|એમ.કે. સરોજા
Dyas|રા' દિયાસ
Rajesh Kumar|રાજેશ કુમાર
Ratnamanirao Jhote|રત્નમણિરાવ જોટે
Villy Aellen|Villy Aellen
Saroop Dhruv|સરૂપ ધ્રુવ
Rasika Dugal|રસિકા દુગ્ગલ
Wajihuddin Alvi|વજીહુદ્દીન અલવી
Durba Banerjee|દુર્બા બેનર્જી
Purnachandra Bidika|પૂર્ણચંદ્ર બિદિકા
|સંબાનંદ મોનપ્પા પંડિત
Bimal Patel|બિમલ પટેલ
Millind Gaba|મિલિન્દ ગાબા
Mickey Singh|મિકી સિંઘ
Harshaali Malhotra|હર્ષાલી મલ્હોત્રા
Kanti Bhatt|કાંતિ ભટ્ટ
Girdhar|ગિરધર
Lilavati Munshi|લીલાવતી મુનશી
Emmy Koch|એમ્મી કોચ
Shriram Madhav Nene|શ્રીરામ માધવ નેને
Bhavesh Bhatt|ભાવેશ ભટ્ટ
Mavjibhai Desai|માવજીભાઇ દેસાઈ
Akash Ambani|આકાશ અંબાણી
Dhwanil Parekh|ધ્વનિલ પારેખ
Sammudi Balasubramaniam|સમમુદિ બાલસુબ્રમણ્યમ્
Dinakararaya Keshavlal Vaidya|દિનકરરાય કેશવલાલ વૈદ્ય
Rajendra Patel|રાજેન્દ્ર પટેલ
Vijayray Vaidya|વિજયરાય વૈદ્ય
