Nicolaus Copernicus|ڪوپرنيڪس
Tanzila Umi Habiba|تنزيلا قمبراڻي
Mai Gulan|مائي گلان
Vanessa Mark|Vanessa Mark
Alexander Bernardi|Alexander Bernardi
Khamiso Khan|خميسو خان
Mai Khairi|مائي خيري
Shams Abbasi|شمس عباسي
|فياض جتوئي
Olivia Araujo|Olivia Araujo
|مختيار ملڪ
Victor Povzner|Victor Povzner
Mantas Januskevicius|Mantas Januskevicius
Bolivar Espinosa|Bolivar Espinosa
Mattija Lojen|Mattija Lojen
Joanne Cavill|Joanne Cavill
Beata Jasińska|Beata Jasińska
Olga Mikhailoyskaia|Olga Mikhailoyskaia
Els Bauden|Els Bauden
Sabrina Arhab|Sabrina Arhab
Cecilia Bäckstedt|Cecilia Bäckstedt
Iulian Oprea|Iulian Oprea
Leon Felderer|Leon Felderer
Cezara Curmei|Cezara Curmei
Roberts Plūme|Roberts Plūme
Erica Voss|Erica Voss
Julia Słupecka|Julia Słupecka
Eric Fantazzini|Eric Fantazzini
Arnis Bebrišs|Arnis Bebrišs
Taylor Lawrence|Taylor Lawrence
Cédric Follador|Cédric Follador
Kamal Jamro|ڪمال ڄامڙو
Riaz Sohail|رياض سھيل
Erik Schmidt|Erik Schmidt
William Shakespeare|ولیم شیڪسپیئر
Aristotle|ارسطو
Carl Linnaeus|ڪارل لينيوئس
Mohamed Morsi|محمد مرسي
Anton Chekhov|انٽون چيخوف
Marco Polo|مارڪو پولو
Alexander Pushkin|اليگزينڊر پشڪن
Rabindranath Tagore|رابندرناٿ ٽئگور
Margaret Thatcher|مارگريٽ ٿيچر
Umar ibn Al-Khattāb|عمر بن خطاب
Ashoka|اشوڪا
Euclid|اقليدس
Karl Marx|ڪارل مارڪس
Queen Victoria|راڻي وڪٽوريا (برطانيا)
Robert Baden-Powell, 1st Baron Baden-Powell|لارڊ بيڊن پاول
Auguste Comte|آگسٽ ڪاميٽ
Rowan Atkinson|روون اٽڪنسن
King Porus|پورس
Bernard Arnault|برنارڊ آرنالٽ
Brad Pitt|بريڊ پٽ
Tom Cruise|ٽام ڪروز
Pervez Musharraf|پرويز مشرف
Nicholas II of Russia|نڪولس ٻيون (روس)
Ahmed Shahe Durrani|احمد شاهه ابدالي
Kahlil Gibran|خليل جبران
Khwaja Ghulam Farid|خواجہ غلام فريد
Qurratulain Hyder|قرت العين
Sukarno|سوئيڪارنو
Larry Ellison|ليري ايليسن
Sergey Brin|سرگي برن
Richard Francis Burton|رچرڊ برٽن
Sain Zahoor|سائين ظھور
Kajol|ڪاجول ديوگن مکرجي
Tamannaah|تمنا ڀاٽيا
Mohammed Rafi|محمد رفيع
Jon Voight|جان وئائيٽ
Abu Bakr al-Razi|الرازي
Saadi|شيخ سعدي
Robert Owen|رابرٽ اووين
Steve Ballmer|اسٽيو بالمر
Zeynalabdin Taghiyev|زينالعابدين طگيف
Yazid I|يزید ابن معاويہ
Sunny Leone|سني ليون
Muawiya II|معاويہ ابن يزيد
Tim Cook|ٽم ڪُڪ
Jacob|يعقوب عليہ السلام
al-Yaʿqubi|اليعقوبي
Ernesto Zedillo|ارنيسٽو زيديلو
Abd Allah ibn al-Zubayr|عبدالله بن زبير
Abdel Fattah el-Sisi|عبد الفتاح السيسى
