Giourkas Seitaridis|ज्यूर्कास सीतारिदिस
William Tubman|विल्यम व्ही.एस. टबमॅन
Pablo Edson Barrera Acosta|पाबलो बरेरा
Jonas Björkman|योनास ब्यॉर्कमन
Charles VIII of Sweden|चार्ल्स आठवा
Koman Coulibaly|कोमान कूलिबाली
Matías Fernandez|मतियासस फर्नांदेझ
Rasmus Elm|रास्मुस इल्म
Clemente Rodríguez|क्लेमेंते रॉद्रिगेझ
Ludolph van Ceulen|लुडॉल्फ व्हान स्युलेन
Fernando da Piedade Dias dos Santos|फर्नान्दो दा पिएदादे दिआस दोस सान्तोस
James S. Sherman|जेम्स एस. शेर्मान
Alan Bean|अॅलन बीन
Kei Nishikori|केई निशिकोरी
Gilberto da Silva Melo|गिल्बेर्तो दा सिल्वा मेलो
Nichiren|निचिरेन
Napoleon Hill|नेपोलिअन हिल
Adlai Stevenson II|अडलाई स्टीवन्सन
Aleksandar Luković|अलेक्सांदर लुकोविच
F. J. Robinson, 1st Viscount Goderich|एफ.जे. रॉबिन्सन
Vicente Yáñez Pinzón|व्हिसेंते यानेझ पिंझोन
Nigel Short|नायजेल शॉर्ट
Higashiyama|हिगाशीयामा
Reigen|रैगेन
Ayad Allawi|अयाद अल्लावी
Stéphane Grichting|स्टेफान ग्रिख्टींग
Kamil Kopúnek|कामिल कोपुनेक
Gaius Julius Caesar|गैअस ज्यूलिअस सीझर द एल्डर
Vladimir Bystrov|व्लादिमिर बिस्त्रोव्ह
Sebastian Prödl|सेबास्टियन प्रोड्ल
Patrick Müller|पॅट्रिक म्युलर
Toshiki Kaifu|कैफु तोशिकी
Julian Draxler|युलियान ड्राक्स्लर
Nenad Milijaš|नेनाद मिलियाश
Bidatsu|बिदात्सु
Julio César Cáceres|हुलियो सेझार कासेरेस
Bimbisara|बिंबिसार
Fakhruddin Ali Ahmed|फक्रुद्दीन अली अहमद
Ibn Hazm|इब्न हज्म
George Herbert|जॉर्ज हर्बर्ट
Søren Larsen|सोरेन लार्सन
Michael Dukakis|मायकेल डुकाकिस
Subkhiddin Mohd Salleh|सुबखिद्दीन मोहम्मद सल्लेह
Jamsetji Tata|जमशेदजी टाटा
Abhimanyu|अभिमन्यु
Peter O'Leary|पीटर ओ'लियरी
Cüneyt Çakır|कुनेय्त काकिर
Sergey Ivanovich Vavilov|सर्गेई इव्हानोविच वाव्हिलोव्ह
Satish Dhawan|सतीश धवन
Mary Kom|मेरी कोम
Gary Medel|गॅरी मेडेल
Martín Silva|मार्टिन सिल्वा
Shruti Haasan|श्रुती हासन
Sverre of Norway|स्व्हेर
Kengo Nakamura|केंगो नाकामुरा
Keiji Tamada|किजी तमदा
John Prescott|जॉन प्रेस्कॉट
Edward Wood, 1st Earl of Halifax|लॉर्ड एडवर्ड आयर्विन
C. P. Snow|चार्ल्स पर्सी स्नो
Alistair MacLean|ऍलिस्टेर मॅकलेन
Thomas Wakley|थॉमस वेकली
Nazrul Islam|काझी नजरूल इस्लाम
Ram Swarup|राम स्वरूप
Andrés Gómez|आंद्रेस गोमेझ
Adolfo López Mateos|आदोल्फो लोपेझ मटियोस
Lionel Tennyson, 3rd Baron Tennyson|लायोनेल हॅलाम टेनिसन
Nikos Spyropoulos|निकोस स्पिरोपॉलोस
David Atkinson|डेव्हिड अॅटकिन्सन
Diego Barreto|दिएगो बारेट्टो
Rick Husband|रिक डी. हसबंड
Jürgen Macho|युर्गन माखो
Per Krøldrup|पेर क्रोल्ड्रुप
Javier Balboa|हाविये बाल्बोआ
Boštjan Cesar|बोस्त्यान सीझर
Denis Caniza|डेनिस कानीझा
Thomas Kingo|थॉमस हॅन्सन किंगो
Eyong Enoh|इयाँग एनोह
Stephen Batchelor|स्टीफन बॅचेलर
Attalus|अटॅलस
Rodrigo Tello|रॉद्रिगो टेयो
Gray Davis|ग्रे डेव्हिस
Yūryaku|युराकु
Emperor Kameyama|गो-कामेयामा
