Malaika Arora|ਮਲਾਇਕਾ ਅਰੋੜਾ
Saint Óscar Romero|ਆਸਕਰ ਰੋਮੇਰੋ
Yannis Ritsos|ਜੈਨੀਸ ਰਿਸਤੋਸ
Minna Canth|ਮੀਨਾ ਕੰਤ
Nick Vujicic|ਨਿੱਕ ਵੁਈਏਚਿਚ
George Fox|ਜਾਰਜ ਫੌਕਸ
Napoleon Hill|ਨੇਪੋਲੀਅਨ ਹਿਲ
Donnie Yen|ਡੋਨੀ ਯੇਨ
Mirza Ghulam Ahmad|ਮਿਰਜ਼ਾ ਗ਼ੁਲਾਮ ਅਹਿਮਦ
Bob Fosse|ਬੌਬ ਫ਼ੌਸ਼ੇ
Lewis H. Morgan|ਲਿਊਸ ਐਚ ਮਾਰਗਨ
Philip Larkin|ਫਿਲਿਪ ਲਾਰਕਿਨ
Masaoka Shiki|ਮਾਸਾਓਕਾ ਸ਼ਿਕੀ
Vladislav Tretiak|ਵਲਾਦੀਸਲਾਵ ਟਰੀਟਿਆਕ
Tushratta|ਤੁਸ਼ਿਅਰਥ
Rahman Baba|ਰਹਿਮਾਨ ਬਾਬਾ
Bimbisara|ਬਿੰਬਸਾਰ
Fakhruddin Ali Ahmed|ਫਖਰੁੱਦੀਨ ਅਲੀ ਅਹਮਦ
J. Paul Getty|ਜੇ. ਪਾਲ ਗੈੱਟੀ
Jamsetji Tata|ਜਮਸ਼ੇਦਜੀ ਟਾਟਾ
Abhimanyu|ਅਭਿਮੰਨਿਊ
Gabriel Macht|ਗੈਬਰੀਅਲ ਮਾਕਟ
Satish Dhawan|ਸਤੀਸ਼ ਧਵਨ
Mary Kom|ਮੈਰੀ ਕੋਮ
Shruti Haasan|ਸ਼ਰੂਤੀ ਹਸਨ
J. P. Dutta|ਜੇ. ਪੀ. ਦੱਤਾ
Fareed Zakaria|ਫ਼ਰੀਦ ਜ਼ਕਾਰੀਆ
Nazrul Islam|ਕਾਜ਼ੀ ਨਜ਼ਰੁਲ ਇਸਲਾਮ
Olaf Stapledon|ਓਲਾਫ਼ ਸਟੇਪਲਡਨ
Mandakini|ਮੰਦਾਕਿਨੀ
Muiz ud din Bahram|ਮੁਈਜੁੱਦੀਨ ਬਹਿਰਾਮਸ਼ਾਹ
Bengt Holmström|ਬੈਂਂਗਟ ਹੌਮਸਟਰਮ
Kit Harington|ਕਿਟ ਹਰਿੰਗਟਨ
Gordie Howe|ਗੋਰਡੀ ਹੋਵੇ
E. B. White|ਈ. ਬੀ. ਵ੍ਹਾਈਟ
Marek Grechuta|ਮਾਰੇਕ ਗਰੇਹੂਤਾ
Richard Thaler|ਰਿਚਰਡ ਥੈਲਰ
Charles Lamb|ਚਾਰਲਸ ਲੈਂਬ
Rahimuddin Khan|ਰਹੀਮੁੱਦੀਨ ਖਾਨ
Thol. Thirumavalavan|ਥੋਲ. ਥਿਰੂਮਾਵਲਵਨ
Ajatasatru|ਅਜਾਤਸ਼ਤਰੂ
Jules Guesde|ਜੂਲ ਗੇਡ
Motilal Nehru|ਮੋਤੀਲਾਲ ਨਹਿਰੂ
Azim Premji|ਅਜ਼ੀਮ ਪ੍ਰੇਮਜੀ
Valeri Kharlamov|ਵਲੇਰੀ ਖਾਰਲਾਮੋਵ
Shahid Afridi|ਸ਼ਾਹਿਦ ਅਫ਼ਰੀਦੀ
Kakinomoto no Hitomaro|ਕਾਕੀ ਨੋ ਮੋਤੋ ਨੋ ਹਿਤੋਮਾਰੋ
Faiz Ahmad Faiz|ਫੈਜ਼ ਅਹਿਮਦ ਫੈਜ਼
Mangal Pandey|ਮੰਗਲ ਪਾਂਡੇ
Manvendra Singh Gohil|ਮਾਨਵੇਂਦਰ ਸਿੰਘ ਗੋਹਿਲ
Ōtomo no Yakamochi|ਓਤੋਮੋ ਨੋ ਯਾਕਾਮੋਚੀ
Shah Waliullah|ਸ਼ਾਹ ਵਲੀਉੱਲ੍ਹਾ ਦੇਹਲਵੀ
Ahmed Kathrada|ਅਹਿਮਦ ਕਥਰਾਡਾ
Aryabhata II|ਆਰੀਆਭੱਟ ਦੂਸਰਾ
Leela Majumdar|ਲੀਲਾ ਮਜੂਮਦਾਰ
Oliver Hart|ਓਲੀਵਰ ਹਾਰਟ
E. P. Thompson|ਈ ਪੀ ਥਾਮਪਸਨ
Soha Ali Khan|ਸੋਹਾ ਅਲੀ ਖ਼ਾਨ
Marilyn Strathern|ਮਾਰੀਲਿਨ ਸਟਰੈਥਰਨ
Leila Ahmed|ਲੈਲਾ ਅਹਿਮਦ
Ghazaleh Alizadeh|ਗ਼ਜ਼ਾਲਾ ਅਲੀਜ਼ਾਦਾ
Sahar Khalifeh|ਸਹਿਰ ਖ਼ਲੀਫ਼ਾ
Anna Grodzka|ਅੰਨਾ ਗਰੋਜ਼ਕਾ
Kay Sage|ਕੈਥਰੀਨ ਲਿਨ ਸਾਗੇ
Heather Hunter|ਹੀਦਰ ਹੰਟਰ
Porsche Lynn|ਪੌਰਸ਼ੇ ਲੀਨ
Madam C. J. Walker|ਮੈਡਮ ਸੀ.ਜੇ.ਵਾਕਰ
Gerd Brantenberg|ਗੇਰਡ ਬਰਾਂਟਨਬਰਗ
Nayantara Sahgal|ਨੈਨਤਾਰਾ ਸਹਿਗਲ
Harold Arlen|ਹੈਰੋਲਡ ਅਰਲੇਨ
Stuart Hall|ਸਟੂਅਰਟ ਹਾਲ
Rafer Johnson|ਰਾਫਰ ਜੌਹਨਸਨ
Guru Amar Das|ਗੁਰੂ ਅਮਰਦਾਸ
Bairam Khan|ਬੈਰਮ ਖ਼ਾਨ
Missy|ਮੀਸੀ
Susheela Raman|ਸੁਸ਼ੀਲਾ ਰਮਨ
John Tenniel|ਸਰ ਜੌਨ ਟੈਨਿਅਲ
