Lindsay Price|لنڈسے پرائیس
Lindsay Wagner|لنڈسے ویگنر
Karina Lombard|کرینہ لومبارڈ
Bonnie Bedelia|بونی بیہاری
Frances Farmer|فرانسس فارمر
John E. Walker|جان ای واکر
Jill Stein|جل سٹائن
Philippa of England|فلپاء انگلستانی
Julia Drusilla|جولیا ڈروسیلا
Renee O'Connor|رینی او کونور
Kathy Baker|کیتھی بیکر
Hope Davis|ہوپ ڈیوس
Katrina Bowden|کترینہ باوڈین
Claudia|کلوڈیا پولکرا
Sara Foster|سارہ فوسٹر
Jill St. John|جل سینٹ جان
Fawzia Fuad of Egypt|شہزادی فوزیہ فواد
Sierra McCormick|سیرا مک کارمک
George Beadle|جارج ویل بیڈل
Carrie Preston|کیری پریسٹن
Judith Light|جوڈت لائیٹ
Sara Rue|سارہ ریو
Roger Guillemin|روگر گولیمنن
Joan Blondell|جوآن بلونڈیل
Erica Campbell|ایریکا کیمبل
Lal Bahadur Shastri|لال بہادر شاستری
Imam Shamil|امام شامل
Priscilla Barnes|پریسیلا بارنس
Ali Hatami|علی حاتمی
Nancy Kelly|نینسی کیلی
As-Saffah|ابوالعباس السفاح
Emir Spahić|امیر سپاھچ
Baha ad-Din ibn Shaddad|بہاء الدین ابن شداد
Hina Rabbani Khar|حنا ربانی کھر
Salome I|سلومی
Susan Peters|سوسن پیٹرس
Courtney Cummz|کورٹنی کمز
Olivia O'Lovely|اولیویا اولولی
Black Angelika|بلیک اینجلکا
Sarah Paulson|سارہ پالسن
Dee Wallace|ڈی والیس
Alexandra Hedison|الیگزینڈرا ہیڈیسن
Eva Amurri|ایوا اموری
Trina Michaels|ٹرینا مایکلز
Cindy Crawford|سنڈی کرافورڈ (فحش اداکارہ)
Hafsa bint Umar|حفصہ بنت عمر
Choudhry Rahmat Ali|چوہدری رحمت علی
Chhotu Ram|چھوٹو رام
Kasturba Gandhi|کستوربا گاندھی
Gerda Wegener|گیردا ویگنر
Betsy Blair|بیٹسی بلیئر
Mariamne|مریمنے
Spring Byington|سپرنگ بائنگٹن
Ahmad ibn Rustah|احمد ابن رستہ اصفہانی
Elif Şafak|الیف شافاق
Alsou|آلسو
Parvin E'tesami|پروین اعتصامی
Ronee Blakley|رونی بلاکلی
Torsten Nils Wiesel|ٹورسٹن ویسل
Haneen Zoabi|حنین زعبی
André Frédéric Cournand|انڈری فریڈرک کونینڈ
Noname Jane|نونیم جین
Shelley Hack|شیلے ہیک
Corinne Griffith|کوریننی گریفتھ
John Harsanyi|جون ہارسانئے
Leïla Ben Ali|لیلی بن علی
Virginia Grey|ورجینیا گرے
McKenzie Lee|مکنزی لی
Edward B. Lewis|ایڈوارڈ بی لیوس
Geraldine Brooks|گیرالڈین بروکس (اداکارہ)
Lindsey Shaw|لنڈسے شا
Paul Rudd|پال رُڈ
Urvashi|اروشی (اداکارہ)
Prakash Karat|پرکاش کارات
Albert S. Ruddy|البرٹ ایس روڈی
Mahbub ul Haq|محبوب الحق
Taqiuddin al-Nabhani|تقی الدین النبہانی
Tabitha King|ٹابیتھا کنگ
Dennis W. Sciama|ڈنیس ولیم سياما
Al-Wathiq|الواثق باللہ
Al-Mu'tamid|المعتمد علی اللہ
